編號,案類,發生日期,發生時段,發生地點,備註
1,強盜,1070130,16~18,台北市中山區中山北路2段31~60號,
2,強盜,1070301,04~06,台北市北投區福興里致遠一路2段1~30號,
3,強盜,1071115,16~18,台北市士林區舊佳里中正路211~240號,
4,強盜,1071125,08~10,台北市大安區永康里永康街1~30號,
5,強盜,1071211,12~14,台北市文山區博嘉里020鄰木柵路4段1~30號,
6,強盜,1080124,02~04,台北市文山區景行里車前路29巷,
7,強盜,1080407,20~22,台北市信義區三犁里象山登山步道(煙火觀景臺),
8,強盜,1081103,10~12,台北市北投區湖田里陽金公路(馬槽橋下方),
9,強盜,1081113,00~02,台北市信義區虎林街181~210號,
10,強盜,1081121,22~24,台北市信義區永吉路225巷4弄1~30號,
11,強盜,1081126,14~16,台北市大同區哈密街20巷1~30號,
12,強盜,1081129,04~06,台北市北投區立賢里承德路7段211~240號,
13,強盜,1090110,22~24,台北市南港區三重里三重路1~30號,
14,強盜,1090404,02~04,台北市大安區光武里忠孝東路4段101巷(大安路1段31巷),
15,強盜,1090510,06~08,台北市萬華區西園路1段212巷16弄,
16,強盜,1090724,00~02,台北市信義區中坡北路1~30號,
17,強盜,1090906,04~06,台北市大同區長安西路31~60號,
18,強盜,1091109,04~06,台北市萬華區華西街1~30號,
19,強盜,1100205,02~04,台北市大同區歸綏街151~180號,
20,強盜,1100311,00~02,台北市大同區長安西路181~210號,
21,強盜,1110126,18~20,台北市北投區永明里石牌路1段181~210號,
22,強盜,1110528,21~22,台北市大安區忠孝東路四段181~210號,
